GeneID,Symbol
118924,FRA10AC1
64776,C11orf1
746,TMEM258
747,DAGLA
8045,RASSF7
56675,NRIP3
56674,TMEM9B
56673,C11orf16
56672,AKIP1
26610,ELP4
738,VPS51
55291,PPP6R3
53838,C11orf24
740,MRPL49
741,ZNHIT2
744,MPPED2
745,MYRF
57101,ANO2
57102,C12orf4
57103,TIGAR
57097,PARP11
11161,ERG28
9556,ATP5MPL
10598,AHSA1
23742,NPAP1
23741,EID1
26589,MRPL46
81698,LINC00597
750,GAS8-AS1
10517,FBXW10
752,FMNL1
53383,MCUR1P1
53400,SMG6-IT1
753,LDLRAD4
56651,LINC00470
10755,GIPC1
710,SERPING1
711,ERC2-IT1
49860,CRNN
54583,EGLN1
10712,FAM189B
56893,UBQLN4
9528,TMEM59
51430,SUCO
712,C1QA
713,C1QB
708,C1QBP
54098,C1QBPP1
714,C1QC
715,C1R
716,C1S
717,C2
22974,TPX2
54097,FAM3B
150082,LCA5L
54093,SETD4
755,CFAP410
54090,LINC00111
54089,LINC00112
54088,LINC00113
400866,LINC00114
25966,C2CD2
54084,TSPEAR
54082,TSPEAR-AS1
8209,GATD3A
388815,MIR99AHG
100505929,LINC01549
54075,CHODL-AS1
757,TMEM50B
100379661,GRIK1-AS2
54072,LINC00158
LINC00159
54069,MIS18A
54067,C21orf62-AS1
9980,DOP1B
54065,SMIM11A
54064,LINC00160
728409,LINC01548
54943,DNAJC28
84221,SPATC1L
54059,YBEY
54058,C21orf58
56683,CFAP298
10069,RWDD2B
56246,MRAP
56245,C21orf62
758,MPPED1
25776,CBY1
25807,RHBDD3
25771,TBC1D22A
25829,TMEM184B
25809,TTLL1
55007,FAM118A
23313,KIAA0930
27436,EML4
6936,GCFC2
718,C3
719,C3AR1
23739,C3CER1
51300,TIMMDC1
56650,CLDND1
720,C4A
721,C4B
722,C4BPA
727859,C4BPAP1
724,C4BPAP2
725,C4BPB
10463,SLC30A9
51778,MYOZ2
727,C5
23738,OFD1P17
10827,FAM114A2
10826,FAXDC2
51306,FAM13B
51307,FAM53C
51780,KDM3B
728,C5AR1
729,C6
221491,SMIM29
10758,TRAF3IP2
730,C7
54809,SAMD9
219285,SAMD9L
136991,ASZ1
731,C8A
732,C8B
733,C8G
734,OSGIN2
11160,ERLIN2
56892,TCIM
735,C9
54586,EQTN
84909,AOPEP
23732,FRRS1L
23731,TMEM245
54942,ABITRAM
11094,CACFD1
11093,ADAMTS13
11092,SPACA9
759,CA1
56934,CA10
770,CA11
771,CA12
23632,CA14
760,CA2
761,CA3
762,CA4
763,CA5A
11238,CA5B
764,CA5AP1
765,CA6
766,CA7
767,CA8
768,CA9
9478,CABP1
51475,CABP2
57010,CABP4
CACD
773,CACNA1A
774,CACNA1B
775,CACNA1C
776,CACNA1D
777,CACNA1E
778,CACNA1F
8913,CACNA1G
8912,CACNA1H
8911,CACNA1I
779,CACNA1S
781,CACNA2D1
9254,CACNA2D2
782,CACNB1
783,CACNB2
784,CACNB3
785,CACNB4
786,CACNG1
10369,CACNG2
10368,CACNG3
27092,CACNG4
27091,CACNG5
788,SLC25A20
789,SLC25A20P1
790,CAD
8618,CADPS
793,CALB1
794,CALB2
795,S100G
796,CALCA
797,CALCB
798,CALCP
799,CALCR
800,CALD1
801,CALM1
802,CALM1P1
804,CALM1P2
805,CALM2
100128390,CALM2P1
806,CALM2P2
807,CALM2P3
808,CALM3
810,CALML3
811,CALR
813,CALU
8536,CAMK1
815,CAMK2A
816,CAMK2B
817,CAMK2D
818,CAMK2G
814,CAMK4
84254,CAMKK1
10645,CAMKK2
819,CAMLG
820,CAMP
821,CANX
822,CAPG
823,CAPN1
11132,CAPN10
11131,CAPN11
824,CAPN2
825,CAPN3
826,CAPNS1
726,CAPN5
827,CAPN6
23473,CAPN7
388743,CAPN8
10753,CAPN9
828,CAPS
829,CAPZA1
53338,CAPZA1P
830,CAPZA2
832,CAPZB
23729,SHPK
833,CARS
8092,ALX1
8573,CASK
10029,CASKP1
834,CASP1
843,CASP10
23581,CASP14
835,CASP2
836,CASP3
837,CASP4
838,CASP5
839,CASP6
840,CASP7
841,CASP8
9994,CASP8AP2
842,CASP9
844,CASQ1
845,CASQ2
846,CASR
831,CAST
847,CAT
856,CATR1
857,CAV1
858,CAV2
859,CAV3
10367,MICU1
862,RUNX1T1
9139,CBFA2T2
863,CBFA2T3
865,CBFB
866,SERPINA6
867,CBL
868,CBLB
869,CBLN1
147381,CBLN2
871,SERPINH1
873,CBR1
874,CBR3
875,CBS
10951,CBX1
84733,CBX2
11335,CBX3
8535,CBX4
23468,CBX5
23466,CBX6
23492,CBX7
CCA1
CCAL1
883,KYAT1
1238,ACKR2
881,CCIN
885,CCK
886,CCKAR
887,CCKBR
889,KRIT1
8900,CCNA1
890,CCNA2
891,CCNB1
9133,CCNB2
892,CCNC
595,CCND1
894,CCND2
895,CCND2P1
896,CCND3
897,CCND3P1
23582,CCNDBP1
898,CCNE1
9134,CCNE2
899,CCNF
900,CCNG1
901,CCNG2
902,CCNH
10983,CCNI
8812,CCNK
904,CCNT1
905,CCNT2
1230,CCR1
729230,CCR2
1232,CCR3
1233,CCR4
1234,CCR5
1235,CCR6
1236,CCR7
1237,CCR8
10803,CCR9
51554,ACKR4
9034,CCRL2
9973,CCS
CCT
10576,CCT2
7203,CCT3
10575,CCT4
22948,CCT5
908,CCT6A
10693,CCT6B
10574,CCT7
10694,CCT8
CCV
2829,XCR1
929,CD14
977,CD151
9332,CD163
8763,CD164
930,CD19
909,CD1A
910,CD1B
911,CD1C
912,CD1D
913,CD1E
914,CD2
30835,CD209
933,CD22
100133941,CD24
935,CD24P1
936,CD24P2
937,CD24P3
938,CD24P4
940,CD28
10421,CD2BP2
945,CD33
947,CD34
948,CD36
949,SCARB1
950,SCARB2
951,CD37
952,CD38
915,CD3D
916,CD3E
917,CD3G
919,CD247
920,CD4
960,CD44
961,CD47
962,CD48
921,CD5
963,CD53
965,CD58
966,CD59
922,CD5L
923,CD6
967,CD63
968,CD68
969,CD69
924,CD7
971,CD72
972,CD74
973,CD79A
974,CD79B
941,CD80
975,CD81
9308,CD83
8832,CD84
942,CD86
925,CD8A
926,CD8B
927,CD8B2
928,CD9
976,ADGRE5
978,CDA
146059,CDAN1
CDAN3
CDB2
989,SEPT7
8556,CDC14A
8555,CDC14B
8881,CDC16
983,CDK1
991,CDC20
8697,CDC23
993,CDC25A
994,CDC25B
995,CDC25C
996,CDC27
984,CDK11B
728642,CDK11A
8621,CDK13
997,CDC34
11140,CDC37
998,CDC42
8476,CDC42BPA
9578,CDC42BPB
8318,CDC45
987,LRBA
988,CDC5L
990,CDC6
8317,CDC7
999,CDH1
1008,CDH10
1009,CDH11
1010,CDH12
1011,CDH12P2
1012,CDH13
1013,CDH15
1014,CDH16
1015,CDH17
1016,CDH18
28513,CDH19
1000,CDH2
28316,CDH20
1001,CDH3
1002,CDH4
1003,CDH5
1004,CDH6
1005,CDH7
1006,CDH8
1007,CDH9
10423,CDIPT
8558,CDK10
1017,CDK2
1018,CDK3
1019,CDK4
1020,CDK5
8851,CDK5R1
8941,CDK5R2
1021,CDK6
1022,CDK7
1024,CDK8
1025,CDK9
8814,CDKL1
8999,CDKL2
1026,CDKN1A
1027,CDKN1B
1028,CDKN1C
1029,CDKN2A
1030,CDKN2B
1031,CDKN2C
1032,CDKN2D
1033,CDKN3
CDL1
CDL2
1036,CDO1
1038,CDR1
1039,CDR2
1040,CDS1
8760,CDS2
1041,CDSN
1043,CD52
1044,CDX1
1045,CDX2
1046,CDX4
9085,CDY1
9426,CDY2A
9425,CDYL
634,CEACAM1
1084,CEACAM3
1089,CEACAM4
1048,CEACAM5
4680,CEACAM6
1087,CEACAM7
1088,CEACAM8
1090,CEACAMP1
1098,CEACAMP10
1086,CEACAMP11
1091,CEACAMP2
1092,CEACAMP3
1093,CEACAMP4
1085,CEACAMP5
1094,CEACAMP6
1095,CEACAMP7
1096,CEACAMP8
1097,CEACAMP9
1050,CEBPA
1051,CEBPB
1052,CEBPD
1053,CEBPE
1054,CEBPG
CECR
51816,ADA2
27443,CECR2
27442,CECR3
100130717,HDHD5-AS1
27440,HDHD5
27439,TMEM121B
100130418,CECR7
27437,HSFY1P1
30847,CECR9
1056,CEL
1057,CELP
9620,CELSR1
1058,CENPA
1059,CENPB
1060,CENPC
1061,CENPCP1
1062,CENPE
1063,CENPF
11064,CNTRL
11190,CEP250
CEPA
9350,CER1
1066,CES1
8824,CES2
23491,CES3
1068,CETN1
1069,CETN2
1070,CETN3
1071,CETP
10428,CFDP1
1072,CFL1
1073,CFL2
8837,CFLAR
1074,CFL1P5
391039,CFL1P2
100131874,CFL1P3
645980,CFL1P4
10167,CFM1
23727,CFM2
1080,CFTR
1081,CGA
1082,CGB3
CGF1
8545,CGGBP1
9023,CH25H
23230,VPS13A
1101,CHAD
10036,CHAF1A
8208,CHAF1B
1103,CHAT
1104,RCC1
1102,RCBTB2
1105,CHD1
9557,CHD1L
1106,CHD2
1107,CHD3
1108,CHD4
1111,CHEK1
1112,FOXN3
1113,CHGA
1114,CHGB
1116,CHI3L1
1117,CHI3L2
53344,CHIC1
26511,CHIC2
1118,CHIT1
1119,CHKA
1120,CHKB
10752,CHL1
1121,CHM
1122,CHML
1123,CHN1
1124,CHN2
8646,CHRD
1128,CHRM1
1129,CHRM2
1131,CHRM3
1132,CHRM4
1133,CHRM5
1134,CHRNA1
1135,CHRNA2
1136,CHRNA3
1137,CHRNA4
1138,CHRNA5
1139,CHRNA7
1140,CHRNB1
1141,CHRNB2
1142,CHRNB3
1143,CHRNB4
1144,CHRND
1145,CHRNE
1146,CHRNG
1130,LYST
8534,CHST1
9435,CHST2
9469,CHST3
10164,CHST4
23563,CHST5
1147,CHUK
338917,VSX2
1149,CIDEA
27141,CIDEB
8483,CILP
1153,CIRBP
84916,UTP4
1154,CISH
11113,CIT
4435,CITED1
10370,CITED2
1155,TBCB
26586,CKAP2
1152,CKB
1156,CKBE
1157,CKBP1
1158,CKM
1159,CKMT1B
1160,CKMT2
137529,CKS1BP7
1164,CKS2
26585,GREM1
SCAR2
CLA3
1176,AP3S1
1178,CLC
1179,CLCA1
9635,CLCA2
9629,CLCA3P
22802,CLCA4
1180,CLCN1
1181,CLCN2
1182,CLCN3
1183,CLCN4
1184,CLCN5
1185,CLCN6
1186,CLCN7
1187,CLCNKA
1188,CLCNKB
9076,CLDN1
9071,CLDN10
9069,CLDN12
23562,CLDN14
24146,CLDN15
10686,CLDN16
26285,CLDN17
51208,CLDN18
149461,CLDN19
9075,CLDN2
49861,CLDN20
53842,CLDN22
1365,CLDN3
1364,CLDN4
7122,CLDN5
9074,CLDN6
1366,CLDN7
9073,CLDN8
9080,CLDN9
10143,CLEC3A
9976,CLEC2B
23601,CLEC5A
1047,CLGN
1192,CLIC1
1193,CLIC2
9022,CLIC3
54102,CLIC6
9124,PDLIM1
1195,CLK1
1196,CLK2
1197,CLK2P1
1198,CLK3
1200,TPP1
1201,CLN3
1203,CLN5
54982,CLN6
2055,CLN8
1207,CLNS1A
1204,CLNS1AP1
9575,CLOCK
8192,CLPP
1208,CLPS
27170,COTL1P1
1209,CLPTM1
10845,CLPX
1211,CLTA
1212,CLTB
1213,CLTC
8218,CLTCL1
1191,CLU
27098,CLUL1
1215,CMA1
8418,CMAHP
CMD1B
CMD1F
CMD1H
1240,CMKLR1
CMM
1245,CMR1A
1246,CMR2A
1247,CMR3A
CMT1A
CMT2B
81846,SBF2
CMTX2
CMTX3
